job_id,ProducerName,rank,op,particles,filesystem,#module,seg:len,occurences,total_dur
256545,nid00020,0,write,5,lustre,STDIO,39,2,2.9e-5
256546,nid00020,0,write,5,lustre,STDIO,0,5,0.001475
256546,nid00020,0,write,5,lustre,STDIO,6,1,1.4e-5
256546,nid00020,0,write,5,lustre,STDIO,7,5,0.001433
256546,nid00020,0,write,5,lustre,STDIO,10,2,4.81e-4
256546,nid00020,0,write,5,lustre,STDIO,11,1,1.4e-5
256546,nid00020,0,write,5,lustre,STDIO,12,1,4.68e-4
256546,nid00020,0,write,5,lustre,STDIO,14,2,4.8300000000000003e-4
256546,nid00020,0,write,5,lustre,STDIO,20,1,4.68e-4
256546,nid00020,0,write,5,lustre,STDIO,24,1,1.3e-5
256546,nid00020,0,write,5,lustre,STDIO,30,1,4.78e-4
256546,nid00020,0,write,5,lustre,STDIO,39,2,2.4e-5
256547,nid00020,0,write,10,lustre,STDIO,0,5,0.001495
256547,nid00020,0,write,10,lustre,STDIO,7,6,0.001437
256547,nid00020,0,write,10,lustre,STDIO,10,2,4.79e-4
256547,nid00020,0,write,10,lustre,STDIO,12,2,4.79e-4
256547,nid00020,0,write,10,lustre,STDIO,14,2,4.79e-4
256547,nid00020,0,write,10,lustre,STDIO,20,1,4.66e-4
256547,nid00020,0,write,10,lustre,STDIO,24,1,1.3e-5
256547,nid00020,0,write,10,lustre,STDIO,30,1,4.8e-4
256547,nid00020,0,write,10,lustre,STDIO,39,2,2.5e-5
256548,nid00020,0,write,10,lustre,STDIO,0,5,0.00138
256548,nid00020,0,write,10,lustre,STDIO,5,1,4.35e-4
256548,nid00020,0,write,10,lustre,STDIO,7,5,9.17e-4
256548,nid00020,0,write,10,lustre,STDIO,10,2,4.5e-4
256548,nid00020,0,write,10,lustre,STDIO,12,2,4.5e-4
256548,nid00020,0,write,10,lustre,STDIO,14,2,4.51e-4
256548,nid00020,0,write,10,lustre,STDIO,20,1,4.34e-4
256548,nid00020,0,write,10,lustre,STDIO,24,1,1.6e-5
256548,nid00020,0,write,10,lustre,STDIO,30,1,4.44e-4
256548,nid00020,0,write,10,lustre,STDIO,39,2,3e-5
256549,nid00020,0,write,10,lustre,STDIO,0,5,0.001381
256549,nid00020,0,write,10,lustre,STDIO,5,1,1.3e-5
256549,nid00020,0,write,10,lustre,STDIO,7,5,0.001297
256549,nid00020,0,write,10,lustre,STDIO,10,2,4.37e-4
256549,nid00020,0,write,10,lustre,STDIO,12,2,4.37e-4
256549,nid00020,0,write,10,lustre,STDIO,14,2,4.37e-4
256549,nid00020,0,write,10,lustre,STDIO,20,1,4.23e-4
256549,nid00020,0,write,10,lustre,STDIO,24,1,1.2e-5
256549,nid00020,0,write,10,lustre,STDIO,30,1,4.36e-4
256549,nid00020,0,write,10,lustre,STDIO,39,2,2.4e-5
256550,nid00020,0,write,10,lustre,STDIO,0,5,0.001501
256550,nid00020,0,write,10,lustre,STDIO,7,6,0.0014759999999999999
256550,nid00020,0,write,10,lustre,STDIO,10,2,4.919999999999999e-4
256550,nid00020,0,write,10,lustre,STDIO,12,2,4.919999999999999e-4
256550,nid00020,0,write,10,lustre,STDIO,14,2,4.919999999999999e-4
256550,nid00020,0,write,10,lustre,STDIO,20,1,4.74e-4
256550,nid00020,0,write,10,lustre,STDIO,24,1,1.7e-5
256550,nid00020,0,write,10,lustre,STDIO,30,1,4.84e-4
256550,nid00020,0,write,10,lustre,STDIO,39,2,2.9e-5
256551,nid00020,0,write,10,lustre,STDIO,0,5,4e-4
256551,nid00020,0,write,10,lustre,STDIO,7,6,2.39e-4
256551,nid00020,0,write,10,lustre,STDIO,10,2,7.9e-5
256551,nid00020,0,write,10,lustre,STDIO,12,2,7.9e-5
256551,nid00020,0,write,10,lustre,STDIO,14,2,7.999999999999999e-5
256551,nid00020,0,write,10,lustre,STDIO,20,1,6e-5
256551,nid00020,0,write,10,lustre,STDIO,24,1,1.9e-5
256551,nid00020,0,write,10,lustre,STDIO,30,1,6.3e-5
256551,nid00020,0,write,10,lustre,STDIO,39,2,3.3e-5
256576,nid00020,0,write,5,nfs,STDIO,0,5,1.88e-4
256576,nid00020,0,write,5,nfs,STDIO,6,1,4.5e-5
256576,nid00020,0,write,5,nfs,STDIO,7,5,1.34e-4
