# uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,data_set,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,dur,timestamp,time_job_rank,job_rank_time,job_time_rank
99066,N/A,256255,240,nid00027,N/A,9223372036854775807,POSIX,MOD,45725165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,45705165824,20000000,174.281901,1655600638.618983,07:00:6B:9D:A7:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:F0:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:F0:00:00:00:00:00:00:00:07:00:6B:9D:A7:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:6B:9D:A7:7F:9D:AB:D8:41:05:00:F0:00:00:00:00:00:00:00
99066,N/A,256255,235,nid00027,N/A,9223372036854775807,POSIX,MOD,44775165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,44755165824,20000000,174.888968,1655600639.227663,07:00:08:92:CE:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:EB:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:EB:00:00:00:00:00:00:00:07:00:08:92:CE:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:08:92:CE:7F:9D:AB:D8:41:05:00:EB:00:00:00:00:00:00:00
99066,N/A,256255,225,nid00027,N/A,9223372036854775807,POSIX,MOD,42875165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,42855165824,20000000,174.889104,1655600639.227768,07:00:C0:93:CE:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:E1:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:E1:00:00:00:00:00:00:00:07:00:C0:93:CE:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:C0:93:CE:7F:9D:AB:D8:41:05:00:E1:00:00:00:00:00:00:00
99066,N/A,256255,180,nid00025,N/A,9223372036854775807,POSIX,MOD,34285165823,1,18446744073709551615,3,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,34265165824,20000000,174.945942,1655600639.283264,07:00:FF:20:D2:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:B4:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:B4:00:00:00:00:00:00:00:07:00:FF:20:D2:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:FF:20:D2:7F:9D:AB:D8:41:05:00:B4:00:00:00:00:00:00:00
99066,N/A,256255,176,nid00025,N/A,9223372036854775807,POSIX,MOD,33545165823,1,18446744073709551615,4,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,33525165824,20000000,174.978850,1655600639.315657,07:00:B9:33:D4:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:B0:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:B0:00:00:00:00:00:00:00:07:00:B9:33:D4:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:B9:33:D4:7F:9D:AB:D8:41:05:00:B0:00:00:00:00:00:00:00
99066,N/A,256255,198,nid00026,N/A,9223372036854775807,POSIX,MOD,37705165823,1,18446744073709551615,3,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,37685165824,20000000,175.154045,1655600639.491885,07:00:0B:7B:DF:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:C6:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:C6:00:00:00:00:00:00:00:07:00:0B:7B:DF:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:0B:7B:DF:7F:9D:AB:D8:41:05:00:C6:00:00:00:00:00:00:00
99066,N/A,256255,231,nid00027,N/A,9223372036854775807,POSIX,MOD,44015165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,43995165824,20000000,175.430227,1655600639.768855,07:00:EC:34:F1:7F:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:E7:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:E7:00:00:00:00:00:00:00:07:00:EC:34:F1:7F:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:EC:34:F1:7F:9D:AB:D8:41:05:00:E7:00:00:00:00:00:00:00
99066,N/A,256255,241,nid00027,N/A,9223372036854775807,POSIX,MOD,45915165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,45895165824,20000000,175.782598,1655600640.121097,07:00:0E:C0:07:80:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:F1:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:F1:00:00:00:00:00:00:00:07:00:0E:C0:07:80:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:0E:C0:07:80:9D:AB:D8:41:05:00:F1:00:00:00:00:00:00:00
99066,N/A,256255,239,nid00027,N/A,9223372036854775807,POSIX,MOD,45535165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,45515165824,20000000,175.783540,1655600640.121882,07:00:EA:CC:07:80:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:EF:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:EF:00:00:00:00:00:00:00:07:00:EA:CC:07:80:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:EA:CC:07:80:9D:AB:D8:41:05:00:EF:00:00:00:00:00:00:00
99066,N/A,256255,245,nid00027,N/A,9223372036854775807,POSIX,MOD,46675165823,1,18446744073709551615,5,read,N/A,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615,46655165824,20000000,175.818042,1655600640.156262,07:00:32:00:0A:80:9D:AB:D8:41:05:00:FF:E8:03:00:00:00:00:00:05:00:F5:00:00:00:00:00:00:00,05:00:FF:E8:03:00:00:00:00:00:05:00:F5:00:00:00:00:00:00:00:07:00:32:00:0A:80:9D:AB:D8:41,05:00:FF:E8:03:00:00:00:00:00:07:00:32:00:0A:80:9D:AB:D8:41:05:00:F5:00:00:00:00:00:00:00
